"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Ray Davis","BUF","RB80","32.3","137.8","1.1","7.8","60.0","0.4","0.2","32.0"
"Jeremy Ruckert","NYJ","TE63","0.0","0.0","0.0","19.7","145.8","1.3","0.0","32.0"
"Emmett Johnson","KC","RB81","39.7","165.1","1.3","5.2","41.1","0.2","0.1","31.9"
"DJ Giddens","IND","RB82","33.6","141.5","1.0","8.6","56.8","0.3","0.2","31.6"
"Ty Chandler","NO","RB83","51.0","138.0","1.0","12.0","57.0","0.0","0.0","31.5"
"Sean Tucker","TB","RB84","38.8","163.8","2.2","1.5","10.2","0.0","0.1","31.4"
"Mitchell Evans","CAR","TE64","0.0","0.0","0.0","15.0","138.6","1.5","0.1","30.1"
"Drew Sample","CIN","TE65","0.0","0.0","0.0","17.3","146.3","1.2","0.1","29.9"
"Nate Boerkircher","JAC","TE66","0.0","0.0","0.0","14.9","155.3","1.3","0.5","29.6"
"Devontez Walker","BAL","WR131","0.0","0.0","0.0","11.6","166.4","1.2","0.1","29.3"
"Zavion Thomas","CHI","WR132","0.0","0.0","0.0","12.5","153.6","1.2","0.1","28.7"
"Jonah Coleman","DEN","RB85","28.3","117.9","0.9","8.1","58.6","0.3","0.1","28.7"
"Odell Beckham Jr.","NYG","WR133","0.3","1.4","0.0","13.3","164.3","0.9","0.1","28.5"
"Malachi Fields","NYG","WR134","0.0","0.0","0.0","13.2","157.5","0.9","0.1","27.4"
"Brashard Smith","KC","RB86","25.0","89.0","0.5","10.5","71.0","0.5","0.0","27.3"
"Nick Vannett","SEA","TE67","0.0","0.0","0.0","10.0","95.0","2.0","0.0","26.5"
"Dont'e Thornton Jr.","LV","WR135","0.0","0.0","0.0","12.1","167.6","0.6","0.1","26.2"
"Nate Adkins","DEN","TE68","0.0","0.0","0.0","11.9","88.3","1.8","0.0","25.7"
"Ben Sinnott","WAS","TE69","0.0","0.0","0.0","11.8","116.0","1.4","0.0","25.7"
"Phil Mafah","DAL","RB87","32.0","142.0","1.0","4.0","34.0","0.0","0.0","25.6"
"Cade Stover","HOU","TE70","0.0","0.0","0.0","15.2","128.1","0.9","0.1","25.5"
"Isaiah Bond","CLE","WR136","4.3","23.5","0.1","9.9","130.1","0.8","0.1","25.4"
"Jackson Hawes","BUF","TE71","0.0","0.0","0.0","10.6","115.1","1.4","0.0","25.4"
"Elijah Mitchell","PHI","RB88","35.0","159.0","1.0","2.0","22.0","0.0","0.0","25.1"
"Jam Miller","NE","RB89","34.0","156.0","1.0","2.0","25.0","0.0","0.0","25.1"
"Jack Endries","CIN","TE72","0.0","0.0","0.0","13.0","123.0","1.0","0.0","24.8"
"Luke Schoonmaker","DAL","TE73","0.0","0.0","0.0","13.2","121.6","0.9","0.0","24.4"
"Konata Mumpfield","LAR","WR137","0.0","0.0","0.0","9.9","126.7","1.2","0.1","24.3"
"Will Mallory","IND","TE74","0.0","0.0","0.0","11.0","125.0","1.0","0.0","24.0"
"Charlie Woerner","ATL","TE75","0.0","0.0","0.0","14.5","127.3","0.6","0.0","23.5"
"Grant Calcaterra","PHI","TE76","0.0","0.0","0.0","11.0","115.0","1.0","0.0","23.0"
"Foster Moreau","HOU","TE77","0.0","0.0","0.0","9.3","105.6","1.3","0.0","22.9"
"Rivaldo Fairweather","ARI","TE78","0.0","0.0","0.0","12.0","109.0","1.0","0.0","22.9"
"Salvon Ahmed","CHI","RB90","35.0","152.0","1.0","1.0","12.0","0.0","0.0","22.9"
"Tanner Hudson","CIN","TE79","0.0","0.0","0.0","13.1","110.3","0.9","0.1","22.7"
"Bauer Sharp","TB","TE80","0.0","0.0","0.0","11.0","112.0","1.0","0.0","22.7"
"Brenen Thompson","LAC","WR138","2.1","11.3","0.1","9.5","121.0","0.7","0.1","22.6"
"Mack Hollins","NE","WR139","0.0","0.0","0.0","10.8","126.7","0.8","0.1","22.6"
"Israel Abanikanda","DAL","RB91","32.0","147.0","1.0","1.0","14.0","0.0","0.0","22.6"
"Cam Grandy","CIN","TE81","0.0","0.0","0.0","13.0","100.0","1.0","0.0","22.5"
"Dallen Bentley","DEN","TE82","0.0","0.0","0.0","12.0","105.0","1.0","0.0","22.5"
"Dameon Pierce","PHI","RB92","35.0","161.0","1.0","0.0","0.0","0.0","0.0","22.1"
"Audric Estime","NO","RB93","30.0","122.0","1.0","3.0","24.0","0.0","0.0","22.1"
"Demond Claiborne","MIN","RB94","27.7","121.6","0.9","3.3","25.2","0.1","0.1","22.0"
"Donovan Edwards","MIA","RB95","31.0","130.0","1.0","2.0","19.0","0.0","0.0","21.9"
"Carlos Washington Jr.","MIA","RB96","31.0","130.0","1.0","2.0","19.0","0.0","0.0","21.9"
"Will Shipley","PHI","RB97","9.3","39.6","0.3","11.3","83.5","0.4","0.1","21.9"
"KeAndre Lambert-Smith","LAC","WR140","0.0","0.0","0.0","9.6","121.0","0.9","0.1","21.8"
"Mo Alie-Cox","IND","TE83","0.0","0.0","0.0","10.8","111.0","0.9","0.1","21.7"
"Seth McGowan","IND","RB98","22.3","97.1","1.2","3.2","26.9","0.1","0.0","21.6"
"Najee Harris","LAC","RB99","28.0","126.0","1.0","2.0","18.0","0.0","0.0","21.4"
"Thomas Fidone II","NYG","TE84","0.0","0.0","0.0","10.0","101.0","1.0","0.0","21.1"
"Jared Wiley","KC","TE85","0.0","0.0","0.0","11.0","95.0","1.0","0.0","21.0"
"Hunter Luepke","DAL","RB100","13.3","56.1","0.4","8.6","61.7","0.4","0.1","20.7"
"Connor Heyward","LV","TE86","4.2","17.6","0.1","9.0","65.9","1.1","0.0","20.0"
"Kaytron Allen","WAS","RB101","23.6","110.8","0.7","3.1","25.4","0.1","0.0","19.9"
"Drake Dabney","GB","TE87","0.0","0.0","0.0","9.0","94.0","1.0","0.0","19.9"
"Josh Whyle","GB","TE88","0.0","0.0","0.0","9.0","86.0","1.0","0.0","19.1"
"Kyle Williams","NE","WR141","4.1","22.3","0.2","6.4","91.5","0.6","0.1","18.8"
"Durham Smythe","BAL","TE89","0.0","0.0","0.0","9.8","94.1","0.7","0.1","18.7"
"Tahj Brooks","CIN","RB102","30.6","129.4","0.9","0.0","0.0","0.0","0.1","18.3"
"Tez Johnson","TB","WR142","4.4","23.3","0.2","6.7","77.6","0.6","0.1","18.1"
"Jimmy Horn Jr.","CAR","WR143","6.2","36.8","0.2","6.6","76.6","0.4","0.1","18.1"
"Devin Neal","NO","RB103","22.5","89.5","1.0","2.5","17.5","0.0","0.0","18.0"
"Devin Singletary","NYG","RB104","22.3","89.2","0.6","4.2","26.3","0.1","0.1","17.7"
"Nicholas Singleton","TEN","RB105","20.3","83.4","0.6","4.3","29.9","0.2","0.1","17.5"
"Jerome Ford","WAS","RB106","17.5","97.0","0.5","4.0","23.5","0.0","0.0","17.1"
"Mitch Tinsley","CIN","WR144","0.0","0.0","0.0","6.6","84.1","0.8","0.1","16.2"
"Max Klare","LAR","TE90","0.0","0.0","0.0","7.5","82.6","0.7","0.0","16.1"
"Tyler Badie","DEN","RB107","4.1","17.7","0.1","8.0","65.5","0.4","0.1","15.1"
"Justin Joly","DEN","TE91","0.0","0.0","0.0","8.0","71.4","0.7","0.0","15.0"
"Jalen Royals","KC","WR145","0.0","0.0","0.0","6.8","78.0","0.6","0.1","14.8"
"Devin Culp","TB","TE92","0.0","0.0","0.0","5.5","59.0","1.0","0.0","14.7"
"Tanner Koziol","JAC","TE93","0.0","0.0","0.0","7.0","73.3","0.6","0.0","14.6"
"Payne Durham","TB","TE94","0.0","0.0","0.0","7.2","70.7","0.6","0.1","14.4"
"Michael Burton","CLE","RB108","6.6","13.8","0.6","5.1","33.2","0.6","0.0","14.0"
"Isaac Guerendo","SF","RB109","16.5","80.0","0.5","2.0","18.5","0.0","0.0","13.9"
"Jack Stoll","CLE","TE95","0.0","0.0","0.0","7.3","62.7","0.6","0.0","13.4"
"Ian Thomas","LV","TE96","0.0","0.0","0.0","6.9","62.0","0.6","0.0","13.1"
"Hunter Long","JAC","TE97","0.0","0.0","0.0","5.0","44.5","1.0","0.0","13.0"
"Trevor Etienne","CAR","RB110","12.3","52.5","0.3","4.1","29.7","0.2","0.1","12.8"
"Anthony Gould","IND","WR146","0.0","0.0","0.0","7.0","74.5","0.3","0.1","12.8"
"Malik Benson","LV","WR147","0.0","0.0","0.0","6.4","79.3","0.3","0.1","12.5"
"Andrew Beck","NYJ","TE98","0.5","4.0","0.0","4.6","31.6","1.1","0.0","12.5"
"Joe Royer","CLE","TE99","0.0","0.0","0.0","7.5","67.3","0.3","0.1","12.4"
"Alec Ingold","LAC","RB111","2.1","8.6","0.1","7.9","58.3","0.2","0.1","12.4"
"Greg Dortch","DET","WR148","4.6","24.0","0.4","4.1","39.8","0.3","0.1","12.1"
"Lucas Krull","DEN","TE100","0.0","0.0","0.0","6.0","44.5","0.5","0.0","10.5"
"Bo Melton","GB","WR149","4.5","26.0","0.1","2.9","37.5","0.3","0.1","10.0"
"Cole Turner","MIA","TE101","0.0","0.0","0.0","4.5","43.5","0.5","0.0","9.6"
"Ben Skowronek","PIT","WR150","0.0","0.0","0.0","5.4","51.0","0.2","0.0","9.0"
"Tyrell Shavers","BUF","WR151","0.0","0.0","0.0","4.0","52.2","0.3","0.0","9.0"
"Derius Davis","LAC","WR152","2.1","11.0","0.1","3.5","37.9","0.3","0.1","8.5"
"Adam Prentice","DEN","RB112","4.1","17.4","0.1","4.1","29.8","0.2","0.0","8.4"
"Malachi Corley","CLE","WR153","6.4","43.8","0.2","1.7","16.5","0.1","0.1","8.3"
"Xavier Smith","LAR","WR154","0.0","0.0","0.0","3.6","44.4","0.3","0.0","8.1"
"Isaiah Williams","NYJ","WR155","2.2","12.7","0.1","3.8","35.8","0.1","0.1","8.1"
"Colbie Young","CIN","WR156","0.0","0.0","0.0","3.5","43.2","0.3","0.0","8.0"
"CJ Daniels","LAR","WR157","0.0","0.0","0.0","3.4","42.8","0.3","0.0","7.9"
"Luke Farrell","SF","TE102","0.0","0.0","0.0","4.3","41.0","0.3","0.0","7.9"
"Brevyn Spann-Ford","DAL","TE103","0.0","0.0","0.0","3.9","36.8","0.3","0.0","7.5"
"Max Bredeson","MIN","RB113","2.0","8.5","0.1","4.5","29.4","0.2","0.0","7.4"
"Ko Kieft","TB","TE104","0.0","0.0","0.0","3.7","36.1","0.3","0.0","7.2"
"CJ Dippre","NE","TE105","0.0","0.0","0.0","3.9","37.3","0.3","0.0","7.2"
"Kendre Miller","NO","RB114","12.9","54.8","0.3","0.0","0.0","0.0","0.0","7.2"
"Tyler Conklin","DET","TE106","0.0","0.0","0.0","3.7","38.0","0.3","0.0","7.1"
"Oscar Delp","NO","TE107","0.0","0.0","0.0","3.9","36.5","0.2","0.0","7.0"
"Justin Watson","HOU","WR158","0.0","0.0","0.0","3.1","41.6","0.2","0.0","7.0"
"Josh Cuevas","BAL","TE108","0.0","0.0","0.0","3.3","35.8","0.3","0.0","7.0"
"Jonathan Mingo","DAL","WR159","0.0","0.0","0.0","2.9","40.6","0.3","0.0","6.9"
"Tai Felton","MIN","WR160","0.0","0.0","0.0","3.7","37.1","0.2","0.0","6.9"
"Eric Saubert","SEA","TE109","0.0","0.0","0.0","3.4","34.4","0.3","0.0","6.9"
"Drew Ogletree","IND","TE110","0.0","0.0","0.0","3.7","35.4","0.3","0.0","6.9"
"Darius Cooper","PHI","WR161","0.0","0.0","0.0","3.3","37.7","0.3","0.0","6.8"
"Sam Roush","CHI","TE111","0.0","0.0","0.0","3.7","33.8","0.3","0.0","6.8"
"Barion Brown","NO","WR162","0.0","0.0","0.0","3.3","39.9","0.2","0.0","6.7"
"Laquon Treadwell","IND","WR163","0.0","0.0","0.0","3.5","36.9","0.2","0.0","6.5"
"Tip Reiman","ARI","TE112","0.0","0.0","0.0","3.8","34.5","0.2","0.0","6.5"
"Johnny Mundt","PHI","TE113","0.0","0.0","0.0","3.5","35.4","0.2","0.0","6.5"
"Reggie Virgil","ARI","WR164","0.0","0.0","0.0","3.4","39.3","0.1","0.0","6.4"
"Brycen Tremayne","CAR","WR165","0.0","0.0","0.0","3.3","36.5","0.2","0.0","6.3"
"Riley Nowakowski","PIT","TE114","0.0","0.0","0.0","4.3","29.1","0.2","0.0","6.0"
"Reggie Gilliam","NE","RB115","0.0","0.0","0.0","4.1","29.8","0.2","0.0","5.9"
"Patrick Ricard","NYG","RB116","0.0","0.0","0.0","4.0","26.9","0.1","0.0","5.5"
"Kaleb Johnson","PIT","RB117","8.6","35.8","0.2","0.0","0.0","0.0","0.0","4.8"
"Kaden Wetjen","PIT","WR166","2.1","11.7","0.1","1.6","18.8","0.1","0.0","4.8"
"Arian Smith","NYJ","WR167","4.3","23.7","0.2","0.0","0.0","0.0","0.0","3.4"
"Chris Manhertz","NYG","TE115","0.0","0.0","0.0","1.8","16.3","0.1","0.0","3.2"
"British Brooks","HOU","RB118","4.2","18.0","0.1","0.0","0.0","0.0","0.0","2.4"
"Kameron Johnson","TB","WR168","2.2","12.1","0.1","0.0","0.0","0.0","0.0","1.8"
"JuJu Smith-Schuster","NYG","WR169","0.0","0.0","0.0","0.7","6.4","0.0","0.0","1.2"
"David Moore","CAR","WR170","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Braxton Berrios","NYG","WR171","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devin Duvernay","ARI","WR172","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Kinsey","TEN","WR173","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Bandy","DEN","WR174","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Skyy Moore","GB","WR175","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Britain Covey","PHI","WR176","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dareke Young","LV","WR177","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Cowing","SF","WR178","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Charlie Jones","CIN","WR179","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jalen Brooks","ARI","WR180","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nikko Remigio","KC","WR181","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jeshaun Jones","MIN","WR182","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Tipton","NO","WR183","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Efton Chism III","NE","WR184","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"LaJohntay Wester","BAL","WR185","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ke'Shawn Williams","CIN","WR186","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Myles Price","MIN","WR187","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gage Larvadain","CLE","WR188","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Cameron","JAC","WR189","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Quintin Morris","JAC","TE116","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jelani Woods","NYJ","TE117","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Blake Whiteheart","CLE","TE118","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Julian Hill","NE","TE119","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DeeJay Dallas","JAC","RB119","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kene Nwangwu","NYJ","RB120","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bam Knight","ARI","RB121","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trey Benson","ARI","RB122","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Saylors","DET","RB123","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Zavier Scott","MIN","RB124","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Rasheen Ali","BAL","RB125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dylan Laube","LV","RB126","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Collier","LV","RB127","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Williams","TB","RB128","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
