"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Courtland Sutton","DEN","WR29","0.0","0.0","0.0","69.4","902.9","7.5","0.2","169.7"
"Chuba Hubbard","CAR","RB30","207.0","834.2","5.4","36.4","260.4","1.8","1.4","168.2"
"Rhamondre Stevenson","NE","RB31","168.8","733.6","6.5","36.8","309.8","1.6","2.1","167.5"
"Mike Evans","SF","WR30","0.0","0.0","0.0","65.1","916.8","6.7","0.2","163.9"
"Marvin Harrison Jr.","ARI","WR31","0.0","0.0","0.0","67.3","944.9","6.0","0.3","163.6"
"Christian Watson","GB","WR32","1.7","8.0","0.0","56.0","901.0","7.4","0.3","162.8"
"DK Metcalf","PIT","WR33","0.7","3.3","0.3","64.2","923.5","6.1","0.2","162.6"
"J.K. Dobbins","DEN","RB32","218.2","1,021.1","6.6","17.7","94.3","0.6","0.7","161.8"
"Tyler Warren","IND","TE4","0.0","0.0","0.0","82.7","871.3","5.4","0.3","160.5"
"Kyle Pitts Sr.","ATL","TE5","0.0","0.0","0.0","79.5","881.6","4.7","0.1","156.0"
"RJ Harvey","DEN","RB33","130.5","495.7","4.6","46.6","343.9","3.5","0.8","154.6"
"Harold Fannin Jr.","CLE","TE6","0.0","0.0","0.0","78.3","815.1","5.4","0.8","151.4"
"Jakobi Meyers","JAC","WR34","4.7","23.0","0.1","70.6","814.5","5.4","0.8","150.4"
"Michael Pittman Jr.","PIT","WR35","0.0","0.0","0.0","80.5","803.4","5.0","0.3","149.7"
"Parker Washington","JAC","WR36","5.3","13.6","0.1","60.9","843.6","5.4","0.4","148.2"
"Carnell Tate","TEN","WR37","0.7","3.0","0.0","66.3","902.7","4.5","1.4","148.2"
"Sam LaPorta","DET","TE7","0.0","0.0","0.0","69.8","809.4","5.5","0.2","148.2"
"Rachaad White","WAS","RB34","139.9","618.2","5.4","38.9","262.7","1.6","0.8","147.8"
"Aaron Jones Sr.","MIN","RB35","160.0","682.2","3.6","41.0","303.4","1.7","1.6","147.5"
"Brian Thomas Jr.","JAC","WR38","2.7","18.0","0.4","55.7","837.7","5.3","0.2","147.5"
"Wan'Dale Robinson","TEN","WR39","2.0","9.5","0.1","83.0","833.8","3.6","0.3","147.4"
"Dallas Goedert","PHI","TE8","0.0","0.0","0.0","65.5","689.2","7.6","0.2","146.6"
"Tucker Kraft","GB","TE9","0.0","0.0","0.0","59.9","770.1","6.4","0.2","145.0"
"Jayden Reed","GB","WR40","12.0","86.6","0.1","62.8","757.3","4.8","0.4","144.6"
"Kyle Monangai","CHI","RB36","191.0","816.9","5.2","22.9","192.7","0.4","0.7","144.5"
"Travis Kelce","KC","TE10","0.0","0.0","0.0","74.9","784.2","4.8","0.3","144.3"
"Kenny Gainwell","TB","RB37","113.6","498.5","3.9","49.7","351.8","2.0","0.9","143.4"
"Quentin Johnston","LAC","WR41","1.7","6.3","0.0","53.6","756.3","6.9","0.7","143.0"
"Michael Wilson","ARI","WR42","0.0","0.7","0.0","67.5","826.3","4.5","0.2","142.9"
"Chris Godwin Jr.","TB","WR43","0.3","0.3","0.0","67.8","773.2","5.2","0.3","141.8"
"George Kittle","SF","TE11","0.0","0.0","0.0","66.4","755.2","5.6","0.2","141.6"
"Jordan Addison","MIN","WR44","2.7","37.1","0.4","55.2","757.8","5.4","0.2","141.3"
"Jordyn Tyson","NO","WR45","0.7","3.0","0.0","63.2","856.5","4.3","1.3","140.9"
"Xavier Worthy","KC","WR46","15.5","99.3","0.9","55.2","721.6","4.2","0.2","139.7"
"Jacory Croskey-Merritt","WAS","RB38","182.3","820.7","7.5","11.2","79.5","0.2","1.7","138.0"
"Josh Downs","IND","WR47","1.4","4.3","0.0","75.9","736.4","4.3","0.8","136.3"
"Khalil Shakir","BUF","WR48","1.1","5.5","0.0","72.4","748.1","4.2","0.8","135.6"
"Makai Lemon","PHI","WR49","1.5","7.0","0.0","56.8","798.2","4.6","1.3","134.0"
"Isaiah Likely","NYG","TE12","0.0","0.0","0.0","62.9","746.1","5.1","1.3","133.8"
"Mark Andrews","BAL","TE13","0.0","0.0","0.0","58.3","607.7","7.4","0.3","133.7"
"Blake Corum","LAR","RB39","167.7","801.5","6.4","11.9","80.4","0.2","0.7","132.6"
"Romeo Doubs","NE","WR50","0.0","0.0","0.0","56.7","735.1","5.2","0.3","132.5"
"Rashid Shaheed","SEA","WR51","13.4","88.9","0.3","49.9","754.8","3.8","0.8","131.7"
"Jonathon Brooks","CAR","RB40","167.9","678.5","4.3","26.5","204.3","1.1","1.4","131.3"
"Jordan Mason","MIN","RB41","181.7","827.8","5.8","14.5","75.8","0.1","1.0","131.2"
"Dalton Kincaid","BUF","TE14","0.0","0.0","0.0","56.8","701.6","5.5","0.2","131.0"
"Jake Ferguson","DAL","TE15","0.0","0.0","0.0","74.1","607.0","5.9","1.4","130.6"
"John Metchie III","CAR","WR52","3.0","-4.0","0.0","65.0","617.0","6.0","0.0","130.2"
"Calvin Ridley","TEN","WR53","4.5","27.5","0.6","48.1","785.3","3.3","0.2","128.4"
"Matthew Golden","GB","WR54","5.5","27.3","0.1","54.9","731.0","4.2","0.4","128.4"
"Hunter Henry","NE","TE16","0.0","0.0","0.0","56.3","651.7","5.4","0.1","125.5"
"Jalen Coker","CAR","WR55","0.0","0.0","0.0","57.6","697.5","4.6","0.8","124.5"
"Juwan Johnson","NO","TE17","0.0","0.0","0.0","64.5","726.3","3.3","1.3","121.8"
"Brenton Strange","JAC","TE18","0.0","0.0","0.0","60.0","658.0","4.3","0.2","121.4"
"Theo Wease Jr.","MIA","WR56","2.0","8.0","0.0","48.0","685.0","5.0","1.0","121.3"
"Ricky Pearsall","SF","WR57","4.2","21.2","0.1","51.2","704.7","3.3","0.2","118.2"
"Jerry Jeudy","CLE","WR58","0.5","2.0","0.0","54.2","746.3","2.9","0.7","117.6"
"KC Concepcion","CLE","WR59","4.2","22.4","0.1","55.6","707.3","3.1","1.3","117.6"
"Tre Tucker","LV","WR60","11.2","52.9","0.2","50.1","633.7","3.8","0.1","116.9"
"Tank Dell","HOU","WR61","10.2","48.8","0.1","50.0","633.0","3.8","0.2","116.4"
