"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Trey McBride","ARI","109.0","1,050.6","6.8","0.2","199.8"
"Brock Bowers","LV","96.5","1,025.0","7.5","0.2","195.5"
"Colston Loveland","CHI","78.1","916.0","6.7","0.2","170.2"
"Tyler Warren","IND","82.7","871.3","5.4","0.3","160.5"
"Kyle Pitts Sr.","ATL","79.5","881.6","4.7","0.1","156.0"
"Harold Fannin Jr.","CLE","78.3","815.1","5.4","0.8","151.4"
"Sam LaPorta","DET","69.8","809.4","5.5","0.2","148.2"
"Dallas Goedert","PHI","65.5","689.2","7.6","0.2","146.6"
"Tucker Kraft","GB","59.9","770.1","6.4","0.2","145.0"
"Travis Kelce","KC","74.9","784.2","4.8","0.3","144.3"
"George Kittle","SF","66.4","755.2","5.6","0.2","141.6"
"Isaiah Likely","NYG","62.9","746.1","5.1","1.3","133.8"
"Mark Andrews","BAL","58.3","607.7","7.4","0.3","133.7"
"Dalton Kincaid","BUF","56.8","701.6","5.5","0.2","131.0"
"Jake Ferguson","DAL","74.1","607.0","5.9","1.4","130.6"
"Hunter Henry","NE","56.3","651.7","5.4","0.1","125.5"
"Juwan Johnson","NO","64.5","726.3","3.3","1.3","121.8"
"Brenton Strange","JAC","60.0","658.0","4.3","0.2","121.4"
"Dalton Schultz","HOU","65.8","629.8","3.4","0.2","115.7"
"T.J. Hockenson","MIN","63.9","574.1","3.3","0.2","108.7"
"Pat Freiermuth","PIT","53.0","558.0","4.3","0.2","107.4"
"Greg Dulcich","MIA","54.6","619.7","3.2","1.2","106.2"
"Kenyon Sadiq","NYJ","51.1","558.1","4.1","0.7","104.5"
"Cade Otton","TB","54.9","556.9","3.1","0.1","101.5"
"AJ Barner","SEA","48.6","469.6","4.9","0.2","100.1"
"Chig Okonkwo","WAS","53.8","566.1","2.7","0.1","99.6"
"Oronde Gadsden II","LAC","44.2","550.2","3.5","0.7","96.7"
"Terrance Ferguson","LAR","36.3","500.4","4.5","0.2","94.7"
"Mike Gesicki","CIN","44.0","461.2","3.9","0.1","91.1"
"Evan Engram","DEN","53.4","471.8","2.7","0.1","90.0"
"Gunnar Helm","TEN","48.9","443.1","3.1","0.2","87.0"
"Mason Taylor","NYJ","44.5","390.9","2.4","0.1","75.4"
"Colby Parkinson","LAR","34.3","354.4","3.9","0.6","74.7"
"David Njoku","LAC","34.7","324.2","3.9","0.1","73.1"
"Michael Mayer","LV","40.0","377.4","2.1","0.1","70.1"
"Dawson Knox","BUF","28.7","328.7","2.9","0.1","64.6"
"Theo Johnson","NYG","27.6","314.7","2.9","0.1","62.4"
"Darnell Washington","PIT","30.7","327.7","2.0","0.6","58.6"
"Tyler Higbee","LAR","26.1","306.5","2.4","0.0","58.1"
"Cole Kmet","CHI","25.9","271.4","2.2","0.1","53.3"
"Ja'Tavion Sanders","CAR","29.4","264.6","2.0","0.1","53.1"
"Noah Fant","NO","30.4","285.0","1.7","1.6","50.5"
"Tommy Tremble","CAR","26.6","253.7","2.0","0.1","50.3"
"Will Kacmarek","MIA","26.6","250.8","1.9","0.6","48.5"
"Erick All Jr.","CIN","26.1","228.4","1.6","0.1","45.5"
"Charlie Kolar","LAC","20.2","230.0","2.0","0.1","45.3"
"Austin Hooper","ATL","22.5","236.7","1.6","0.1","44.4"
"Josh Oliver","MIN","18.6","193.9","2.4","0.1","42.8"
"Eli Stowers","PHI","22.7","232.5","1.5","0.6","42.5"
"Daniel Bellinger","TEN","19.3","222.3","1.7","0.0","42.3"
"Brock Wright","DET","19.4","175.2","2.3","0.0","41.0"
"Noah Gray","KC","21.0","211.2","1.5","0.1","40.3"
"Luke Musgrave","GB","21.7","211.6","1.2","0.0","39.0"
"Elijah Arroyo","SEA","19.0","198.7","1.6","0.1","38.7"
"Adam Trautman","DEN","19.4","194.0","1.5","0.0","37.9"
"Eli Raridon","NE","18.8","195.8","1.5","0.6","37.1"
"Davis Allen","LAR","16.9","157.3","1.9","0.0","35.4"
"Ben Sims","MIA","19.5","184.7","1.2","0.0","35.2"
"Marlin Klein","HOU","19.5","193.6","1.1","0.5","34.7"
"John Bates","WAS","18.4","173.3","1.5","0.6","34.6"
"Elijah Higgins","ARI","22.0","196.1","0.8","0.6","34.5"
"Jake Tonges","SF","16.8","167.6","1.4","0.0","33.2"
"Jeremy Ruckert","NYJ","19.7","145.8","1.3","0.0","32.0"
"Mitchell Evans","CAR","15.0","138.6","1.5","0.1","30.1"
"Drew Sample","CIN","17.3","146.3","1.2","0.1","29.9"
"Nate Boerkircher","JAC","14.9","155.3","1.3","0.5","29.6"
"Connor Heyward","LV","14.0","103.0","2.0","0.0","29.3"
"Nick Vannett","SEA","10.0","95.0","2.0","0.0","26.5"
"Nate Adkins","DEN","11.9","88.3","1.8","0.0","25.7"
"Ben Sinnott","WAS","11.8","116.0","1.4","0.0","25.7"
"Cade Stover","HOU","15.2","128.1","0.9","0.1","25.5"
"Jackson Hawes","BUF","10.6","115.1","1.4","0.0","25.4"
"Jack Endries","CIN","13.0","123.0","1.0","0.0","24.8"
"Luke Schoonmaker","DAL","13.2","121.6","0.9","0.0","24.4"
"Will Mallory","IND","11.0","125.0","1.0","0.0","24.0"
"Charlie Woerner","ATL","14.5","127.3","0.6","0.0","23.5"
"Grant Calcaterra","PHI","11.0","115.0","1.0","0.0","23.0"
"Foster Moreau","HOU","9.3","105.6","1.3","0.0","22.9"
"Rivaldo Fairweather","ARI","12.0","109.0","1.0","0.0","22.9"
"Tanner Hudson","CIN","13.1","110.3","0.9","0.1","22.7"
"Bauer Sharp","TB","11.0","112.0","1.0","0.0","22.7"
"Cam Grandy","CIN","13.0","100.0","1.0","0.0","22.5"
"Dallen Bentley","DEN","12.0","105.0","1.0","0.0","22.5"
"Mo Alie-Cox","IND","10.8","111.0","0.9","0.1","21.7"
"Thomas Fidone II","NYG","10.0","101.0","1.0","0.0","21.1"
"Jared Wiley","KC","11.0","95.0","1.0","0.0","21.0"
"Drake Dabney","GB","9.0","94.0","1.0","0.0","19.9"
"Josh Whyle","GB","9.0","86.0","1.0","0.0","19.1"
"Durham Smythe","BAL","9.8","94.1","0.7","0.1","18.7"
"Max Klare","LAR","7.5","82.6","0.7","0.0","16.1"
"Justin Joly","DEN","8.0","71.4","0.7","0.0","15.0"
"Devin Culp","TB","5.5","59.0","1.0","0.0","14.7"
"Tanner Koziol","JAC","7.0","73.3","0.6","0.0","14.6"
"Payne Durham","TB","7.2","70.7","0.6","0.1","14.4"
"Jack Stoll","CLE","7.3","62.7","0.6","0.0","13.4"
"Ian Thomas","LV","6.9","62.0","0.6","0.0","13.1"
"Hunter Long","JAC","5.0","44.5","1.0","0.0","13.0"
"Joe Royer","CLE","7.5","67.3","0.3","0.1","12.4"
"Lucas Krull","DEN","6.0","44.5","0.5","0.0","10.5"
"Cole Turner","MIA","4.5","43.5","0.5","0.0","9.6"
"Luke Farrell","SF","4.3","41.0","0.3","0.0","7.9"
"Brevyn Spann-Ford","DAL","3.9","36.8","0.3","0.0","7.5"
"Ko Kieft","TB","3.7","36.1","0.3","0.0","7.2"
